name,review_count,categories,rating,price,zip_code,street
Baroche,204,brasseries,4.0,2.0,75008, rue la Boétie
Le Train Bleu,256,french,4.0,4.0,75012,Place Louis Armand
La Méthode,29,french,4.0,2.0,75005, rue Descartes
Little Breizh,206,creperies,4.5,2.0,75006, rue Grégoire de Tours
La Consigne,7,brasseries,4.0,2.0,75012,  rue de Lyon
Le Petit Marché,92,french,4.5,3.0,75003, rue Béarn
Chez Félicie,106,french,4.0,2.0,75014, avenue du Maine
Le Comptoir,436,bistros,4.0,3.0,75006, carrefour de l'Odeon
Victoires,216,french,4.0,2.0,75001, rue la Vrillière
Loup,57,french,4.0,3.0,75001, rue du Louvre
Le Saint André,21,brasseries,4.0,2.0,75006, rue Danton
Les Embruns,64,french,4.5,2.0,75012, rue de Lyon
Les Artizans,24,cakeshop,4.5,2.0,75001, rue de Montorgueil
Les Papilles,253,wine_bars,4.5,3.0,75005, rue Gay-Lussac
La Rotonde,165,brasseries,4.0,3.0,75006, boulevard du Montparnasse
La Régalade,86,french,4.5,3.0,75001, rue Saint-Honoré
The Hardware Société,179,coffee,4.5,2.0,75018, rue Lamarck
La Tartine,32,french,4.0,2.0,75004, rue de Rivoli
Café de Flore,400,cafes,3.5,3.0,75006, boulevard Saint-Germain
Ellsworth,114,wine_bars,4.5,3.0,75001, rue de Richelieu
Monsieur Bleu,157,french,4.0,3.0,75116, avenue de New York
Eric Kayser,129,bakeries,4.5,1.0,75005, rue Monge
Au Métro,11,brasseries,4.5,2.0,75011, rue de Malte
Treize Bakery Paris,14,breakfast_brunch,4.5,,75006, rue de Médicis
Le Brun,8,french,5.0,,75001, rue Saint Honoré
Le Rubis,51,bistros,4.0,1.0,75001, rue du Marché Saint-Honoré
Buvette Gastrothèque,122,french,4.0,2.0,75009, rue Henri Monnier
Le Cirque,9,french,4.5,2.0,75004, rue Saint-Martin
Les Résistants,4,french,5.0,3.0,75010,- rue du Château d'Eau
Les Crocs des Halles,8,bbq,4.5,3.0,75001, rue Berger
Grenouilles,35,sandwiches,5.0,1.0,75018, rue du Chevalier de la Barre
Le Temps des Cerises,335,french,4.5,2.0,75004, rue de la Cerisaie
Le Café,61,cafes,4.5,2.0,75002, rue Tiquetonne
Chez Fernand,191,french,4.5,3.0,75006, rue Christine
Café Oberkampf,50,cafes,4.5,2.0,75011, rue Neuve Popincourt
